latitude;price;bathrooms;Součet hodnot: accommodates;Součet hodnot: beds;Součet hodnot: host_response_rate;Součet hodnot: bedrooms;longitude
-22.922186846556414;$4,948.00;8;12;6;0,9;6;-43.185683517339
-22.928652045033814;$397.00;3;12;4;1;3;-43.385949044951715
-22.930268321108077;$1,998.00;4;12;9;0;4;-43.233719423158995
-22.93250415413859;$2,001.00;4,5;12;12;1;5;-43.174899184190224
-22.933183255741813;$5,601.00;7;12;1;0,85;6;-43.198655888152366
-22.93396678480388;$4,098.00;7;12;6;0,97;6;-43.19730234958338
-22.934292716563583;$3,900.00;8;12;6;0,6;6;-43.197256780249184
-22.934918436618673;$3,900.00;7;12;6;0,79;5;-43.19826594107168
-22.935410251699302;$1,462.00;5,5;12;10;;6;-43.19798025088755
-22.94076035490441;$8,002.00;8;12;6;0;6;-43.205769596799065
-22.941296987969555;$799.00;3,5;12;5;0,5;3;-43.37977400604833
-22.94135770157837;$1,199.00;5,5;12;6;0,33;5;-43.18684186636035
-22.942021338436664;$4,440.00;6,5;12;6;1;6;-43.200865649427946
-22.942415501146847;$601.00;3;12;8;1;5;-43.19284171747542
-22.94468961737702;$2,899.00;1,5;12;4;0;4;-43.17324592872061
-22.947785141967458;$325.00;3;12;10;0,92;3;-43.383119964880514
-22.94911236268693;$55.00;2,5;12;12;0,9;1;-43.186850652342805
-22.949286530404816;$55.00;2,5;12;12;0,9;1;-43.18652723983488
-22.9493702927066;$201.00;2;12;2;1;2;-43.182522131023234
-22.94938751275004;$55.00;2,5;12;12;0,9;1;-43.18639244796794
-22.949398814696405;$55.00;2,5;12;12;0,9;1;-43.18832380214174
-22.94940215049922;$55.00;2,5;12;12;0,9;1;-43.18836938126321
-22.949713791736134;$55.00;2,5;12;12;0,9;1;-43.186788852323424
-22.95011806069002;$902.00;3;12;7;1;4;-43.189285789043986
-22.950349125890927;$55.00;2,5;12;12;0,9;1;-43.187850998327185
-22.95035901368776;$55.00;2,5;12;12;0,9;1;-43.18816343838461
-22.950452648805438;$55.00;2,5;12;12;0,9;1;-43.18714984368421
-22.950462074182916;$55.00;2,5;12;12;0,9;1;-43.18650151148809
-22.9506132435911;$51.00;2,5;12;12;0,9;1;-43.18639375280442
-22.951208580807652;$55.00;2,5;12;12;0,9;1;-43.18835658406401
-22.952157271915635;$499.00;2;12;6;0;4;-43.18423912630163
-22.952375008731515;$301.00;5;12;5;1;5;-43.263582065627666
-22.95329948031722;$673.00;3;12;8;0,8;4;-43.18098288009614
